,Tweet Text,Sentiment
0,"yet you are uncertain why 23,000 + votes ( 98 % for biden ) were logged at that same location shortly after midnight ? 

     ",negative
1,"   little known fact – that biden ’s support for thatcher in 1982 was not the first time that the us helped kick argie ass ? lexington raid 1831 anyone ? 
 
 or p.101   👇 
 ",negative
2,"   i speak for all americans when i say joe biden is our president , trump should have never won 2016 , and i ca n’t wait to flip the senate blue 😄  ",negative
3,   he ’s using biden ’s words . what a fraud .,negative
4,"     i 'm sorry , i do n't see the world that way , my head is a mask , they only wish fear and domination , the only person being dominated is joe biden .",negative
5,"     1 ) delay 2 ) trump has raised $ 170 million grift fund to "" fight "" it 3 ) to cast illegitimacy upon biden .",negative
6,"         if hilary did n’t choke while down on all four he would have been the spouse to sec of state . 

 what was the democrats ? hide biden and blow the corona out of proportion . kid every 18 yr old out to vote and tell them trumps bad lol",negative
7,  _ hart joe biden is truly moronic,negative
8,"    _ drama brie literally made 0 points about socialism . i listened to the podcast . she spent it all the time attacking dems , biden , and neera tanden . she could 've asked megyn : can santa be black ? is jesus white ?",negative
9,# breaking : people will call for biden to go fuck himself ...,negative
10,"   ( 2 ) we know you do n't care about anything that does n't benefit you or anybody that do n't kiss your butt . your words are empty , they have been for years . it 's past time that you get out . 

 biden getting elected is the closest you will get to being president .",negative
11,"   is it your job to defend neera tanden and cap now ? what is up with you guys ? 

 first denial about biden , and now this . stop carrying water for neoliberals  ",negative
12,"biden plagiarizes his entire life ! he has no moral core , just emptiness !",negative
13,referring to what a women wears is ridiculous typical biden supporter 😂 🤪 throwing wild accusations at people you do n’t really know . come up with a more intelligent response to this photo than a women ’s attire and wild accusations if you can prove your statements do it .,negative
14,       so sorry to inform you but biden cheated in the election .   no way he won .   do n't trust the main stream media .   they wo n't publish/ report what really happened .,negative
15,"nikki haley criticizes biden ’s omb pick , neera tanden  ",negative
16,"     as it should be - but she 's still right .   the doj will have no choice but to prosecute trump , regardless of what harris or biden think . 

 no need to monologue while he escapes , though .   keep your head down and get him out of the wh first .",negative
17,biden is an ignoramus !,negative
18,"   little known fact – that biden ’s support for thatcher in 1982 was not the first time that the us helped kick argie ass ? lexington raid 1831 anyone ? 
 
 or p.101   👇 
   ",negative
19,   there is no biden - harris administration . 😎 🇺 🇸 ⚖ 🇺 🇸 ⚖ 🇺 🇸 ⚖ 🇺 🇸 😎,negative
20,"     biden will destroy their america . he will stamp out blatant lies being accepted as truth . he will make derision and bullying things of the past . he will put country before self . so , yep , they are right . he will destroy their america .",negative
21,"     always grasps to give trump credit for shit and actively helped trump by discouraging support for biden 

 she did a shitty job for bernie too , idk why anyone likes her",negative
22,   the real coup happened . biden stole the election . thief . liar . crook . belongs in prison !,negative
23,"       "" saying whatever you want with no cross examination "" 

 you just described every biden press conference ever",negative
24,   oh an once again . he lost . biden will be your president soon . deal with it .,negative
25,   i showed my step - daughter who has down syndrome the video of your dad mocking the reporter who has a disability . she thought that was disgusting and voted for biden .,negative
26,"# fbi dir . wray profited from # hunter # biden ’s illegal # china- # russia kickback deal ,   is this why the fbi has covered up # hunterlaptop ? guess who else cashed in on hunter ’s deal ? # agwilliambarr # doj . you could n’t make this up if you tried .  ",negative
27,"   biden is not the "" president - elect "" 

 the election process is not even done yet 

 it is very foolish to count your chickens before they re hatched",negative
28,"       81,029,173 votes for biden is more . that 's democracy . do you have problem with democracy kevin ?",negative
29,"   president joe biden vice president kamala harris keep 1,200 stimulus checks in the cornavirus relief package get deal done send round 2 1,200 stimulus checks too us 🇺 🇸 americans time of crisis",negative
30,it is well within the president ’s power to cancel student debt for millions of americans . we ’ve seen this power in action when trump canceled student for disabled veterans in 2019 . sdc by biden admin would be an expansion to all students from the precedent trump had set .,negative
31,   this is proven true the fake news media is covering it up we had . cyber crime on top of it where votes were switched from trump to biden ausel voted dumps putting out early morning this can be proven and will be proven in a court of law . and those who are hiding this treason,negative
32,"biden faces increasing pressure to diversify his cabinet 
 ",negative
33,"president - elect biden has an opportunity to unite the country . while so many other issues are divisive , americans agree that it 's time to fix our broken political system . 

 add your name : tell biden to make fighting corruption his first priority .  ",negative
34,"   sorry charlie ... not happening ... voter fraud ... 
 china / hunter / joe biden ... that is you ...",negative
35,"     let 's start here : if it is plausible and likely that democrats cheated for biden to win some states , why is it not just as plausible and likely that a pathological liar like trump had people cheating in the states in which he won , especially those he was expected to lose ?",negative
36,biden could cancel student debt . will he ? -    via  ,negative
37,   what is just as horrific is that biden is owned by china . this will be us if biden is in .,negative
38,   we all need to be wondering if biden knew about the election fraud ?,negative
39,"biden faces increasing pressure to diversify his cabinet 
 ",negative
40,let 's suspend all belief and say there is a way to commit massive voter fraud . the states they are focusing on have republican legislators in charge . that would mean   republicans / democrats plotted against trump . i tend to think more people just voted for biden . # occamsrazor .,negative
