,Text,subjectivity,polarity
0,rt com guy funding fake story hunter biden,1,1
1,biden apparently told jtaps going ask everyone wear mask day take office thereby ensuring half country exact opposite,1,0
2,kingofgameplay heathmayo given chance blown truth told past year biggest chance result election speak believed mcconnell even slightest intention working biden agree,1,0
3,conorjrogers reedgalen could not raise money beat biden election raising line trump pocket enjoy year causing mayhem mar lago,1,1
4,biden fire board member postal governor replace,1,0
5,breaking biden know fauci doctor,1,0
6,biden ask american wear mask first day president,0,2
7,realdonaldtrump right president biden talk higher get,1,0
8,senschumer trump old news anything biden harris team reverse january,1,1
9,realdonaldtrump seanhannity moved biden eviction notice january get cheap made c h n tie,1,1
10,aoc would glad help biden admin understand trial healthcare u older aca deductible eobs relationship doctor give encounter sheet clearly show wrong profit system,1,1
11,realdonaldtrump thought would crash biden elected,1,0
12,markadrianking reuters pretty sure basing case reality not conspiracy theory hunter biden saint compared trump kid trumpcrimefamilyforprison bidenwon getoverit ivankaforprison,1,1
13,timmurtaugh billstepien wonder much biden dnc raised china since election day,1,0
14,dailymail realsaavedra biden defense know,1,1
15,karensm xoxopatrioticrn realdonaldtrump imagine president powerful country world unable stop election stolen sleepy joe biden people ever bigger cuck loser donald trump,1,0
16,repraskin much damning evidence provided biden russiagate hearing would think jamie raskin want know happened particular matter instead paint republican broadest brush toolkit rt agree,1,0
17,realdonaldtrump thanks joe biden kamala stock market economy always well democrat,1,1
18,biden face mask wear work flag belong,1,1
19,evaedt realdonaldtrump fun let say true group offered raffle ticket voted encouraged people vote vote anonymous person candidate choice voter got gift warped trump logic fraud biden,1,0
20,hawleymo realdonaldtrump trump would legit since biden fraud sad donthecon,1,1
21,joebiden barack said fauci say cleared monkey see biden compass,1,0
22,biden eye defeated candidate key administration role waiting see petebuttigieg role transition,0,2
23,rudygiuliani randomly selected ballot georgia changed biden illegally trump bigley,1,0
24,jim jordan get sick move thinking going working biden admin needed american need help ever best amp useful,1,1
25,aberevere michaelcoudrey ahh biden cheated democrat know well,1,0
26,seanhannity vaccine driving market back not biden mean another nation wide shutdown,1,0
27,biden team continue disrespecting hispanic hispanic caucus unhappy transition treatment lujan grisham,1,0
28,venn diagram call mother fan people deeply invested biden covid response planning small circle within bigger would bagel,1,0
29,ap yashar cnn minute biden know people wear one libs amp something freedom,1,0
30,framinghamdems mass elector named set cast vote biden harris ticket dec via bostonglobe,0,2
31,realdonaldtrump biden kicked as loser,1,1
32,foxnews biden urge taking coronavirus vaccine wearing mask say mandatory,0,2
33,aoc want tax billionaire funded gazillion money biden campaign election right,1,0
34,repdesaulnier except talk people hospital find there patient slow laying cali take stay home order shove sideways funny start pulling shit soon think biden going pres,1,0
35,call mother co owner biden new covid czar,0,2
36,nadinecarroll glibwendell dasanil bunrieulover zaidjilani rudygiuliani statistical analysis equal fraud especially personal decision voting sort people decided vote biden statistic argument not account,1,1
37,huffpostpol little known fact biden support thatcher not first time u helped kick argie as lexington raid anyone p,0,2
38,sherryportz blakeleybartley hillcrestcardco trump lame duck nobody care biden need plan not january th,1,1
39,realdonaldtrump yeah market thrilled biden president age crazy moron pathological liar egotistical sociopath coming end,1,1
40,realdonaldtrump seanhannity needle watch sean hannity tonight not change outcome election miserably lost honorable joe biden called sleepy complaining trump,1,1
41,andrewyang good plan high profile leader give biden running start house even year,1,1
42,unhoodwinked wokeosaurusrex rudygiuliani trump plus penny break tie without runoff matter biden win need support boycott,1,0
