,Text,Raw tokens,Token length,Tokenized,NLTK ref sentiment,roberta_labeled
0,That's the guy who is funding those fake stories about Hunter Biden. ,"['That', ""'s"", 'guy', 'funding', 'fake', 'stories', 'Hunter', 'Biden', '.']",9,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 5, 378, 2817, 259, 1740, 178, 2, 1]",-0.4767,0.0
1,Biden apparently just told JTaps that he's going to ask everyone to wear masks for 100 days after he takes office. Thereby ensuring that half the country will do the exact opposite. ,"['Biden', 'apparently', 'told', 'JTaps', ""'s"", 'going', 'ask', 'everyone', 'wear', 'masks', '100', 'days', 'takes', 'office', '.', 'Thereby', 'ensuring', 'half', 'country', 'exact', 'opposite', '.']",22,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1741, 213, 2818, 5, 37, 52, 243, 42, 43, 23, 28, 244, 48, 1, 2819, 1742, 596, 125, 1277, 1278, 1]",0.2732,0.0
2,"They've been given 40 chances. And have blown all but 1. Truth be told, the past 4 years were the biggest chance of all. The results of this election speak for themselves. If I believed McConnell had even the slightest intention of working with Biden, I'd agree with you. But. ","['They', ""'ve"", 'given', '40', 'chances', '.', 'And', 'blown', '1', '.', 'Truth', 'told', ',', 'past', '4', 'years', 'biggest', 'chance', '.', 'The', 'results', 'election', 'speak', '.', 'If', 'I', 'believed', 'McConnell', 'even', 'slightest', 'intention', 'working', 'Biden', ',', 'I', ""'d"", 'agree', '.', 'But', '.']",40,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 73, 111, 1743, 1279, 2820, 1, 53, 2821, 186, 1, 999, 213, 3, 699, 187, 105, 525, 300, 1, 14, 419, 19, 420, 1, 54, 7, 1280, 197, 92, 2822, 2823, 348, 2, 3, 7, 214, 280, 1, 88, 1]",0.8442,2.0
3,"They could not raise the money to beat Biden before the election, so they are raising the money now to line Trump's pockets after the election so he can enjoy 4 years of causing mayhem from Mar a Lago. ","['They', 'could', 'raise', 'money', 'beat', 'Biden', 'election', ',', 'raising', 'money', 'line', 'Trump', ""'s"", 'pockets', 'election', 'enjoy', '4', 'years', 'causing', 'mayhem', 'Mar', 'Lago', '.']",23,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 73, 60, 1000, 116, 421, 2, 19, 3, 1744, 116, 814, 10, 5, 1001, 19, 1281, 187, 105, 2824, 2825, 2826, 2827, 1]",0.5367,0.0
4,Can't Biden just fire the board members on the postal board of governors and replace them ? ,"['Ca', ""n't"", 'Biden', 'fire', 'board', 'members', 'postal', 'board', 'governors', 'replace', '?']",11,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 422, 9, 2, 526, 815, 597, 2828, 815, 1282, 1745, 8]",0.2584,2.0
5,Does Biden know Fauci isn't a doctor? ,"['Does', 'Biden', 'know', 'Fauci', ""n't"", 'doctor', '?']",7,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 323, 2, 31, 57, 9, 1746, 8]",0.0,2.0
6,Biden will ask Americans to wear masks for his first 100 days as president website_name ,"['Biden', 'ask', 'Americans', 'wear', 'masks', 'first', '100', 'days', 'president', 'website_name']",10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 52, 32, 42, 43, 38, 23, 28, 34, 6]",0.0,2.0
7,"That's right! The more President Biden talks, the higher it gets. ","['That', ""'s"", 'right', '!', 'The', 'President', 'Biden', 'talks', ',', 'higher', 'gets', '.']",12,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 5, 77, 4, 14, 15, 2, 816, 3, 1747, 164, 1]",0.0,2.0
8,"Trump is old news. Anything he does, Biden-Harris team will reverse January 20, 2021. ","['Trump', 'old', 'news', '.', 'Anything', ',', 'Biden-Harris', 'team', 'reverse', 'January', '20', ',', '2021', '.']",14,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 260, 126, 1, 1002, 3, 198, 75, 1283, 215, 471, 3, 379, 1]",0.0,2.0
9,"WE'VE MOVED ON! It's BIDEN! YOU SHOULD, TOO! EVICTION NOTICE: January 20, 2021. Get your CHEAP, made in C-H-I-N-A ties and GET OUT! ","['WE', ""'VE"", 'MOVED', 'ON', '!', 'It', ""'s"", 'BIDEN', '!', 'YOU', 'SHOULD', ',', 'TOO', '!', 'EVICTION', 'NOTICE', ':', 'January', '20', ',', '2021', '.', 'Get', 'CHEAP', ',', 'made', 'C-H-I-N-A', 'ties', 'GET', 'OUT', '!']",31,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 817, 2829, 2830, 1003, 4, 30, 5, 35, 4, 324, 1284, 3, 2831, 4, 2832, 2833, 13, 215, 471, 3, 379, 1, 380, 2834, 3, 281, 2835, 1285, 700, 1748, 4]",-0.7097,2.0
