ID,Tweet Text,Sentiment
0,yet uncertain vote biden logged location shortly midnight,negative
1,little known fact biden support thatcher not first time u helped kick argie as lexington raid anyone p,negative
2,speak american say joe biden president trump never ca n wait flip senate blue,negative
3,using biden word fraud,negative
4,sorry n see world way head mask wish fear domination person dominated joe biden,negative
5,delay trump raised million grift fund fight cast illegitimacy upon biden,negative
6,hilary n choke four would spouse sec state democrat hide biden blow corona proportion kid every yr old vote tell trump bad lol,negative
7,hart joe biden truly moronic,negative
8,drama brie literally made point socialism listened podcast spent time attacking dems biden neera tanden could asked megyn santa black jesus white,negative
9,breaking people call biden go fuck,negative
10,know n care anything benefit anybody kiss butt word empty year past time get biden getting elected closest president,negative
11,job defend neera tanden cap guy first denial biden stop carrying water neoliberal,negative
12,biden plagiarizes entire life moral core emptiness,negative
13,referring woman wear ridiculous typical biden supporter throwing wild accusation people n really know come intelligent response photo attire prove statement,negative
14,sorry inform biden cheated election way n trust main stream medium wo publish report really happened,negative
15,nikki haley criticizes biden omb pick neera tanden,negative
16,still right doj choice prosecute trump regardless harris biden think need monologue escape though keep head get wh first,negative
17,biden ignoramus,negative
18,little known fact biden support thatcher not first time u helped kick argie as lexington raid anyone p,negative
19,biden harris administration,negative
20,biden destroy america stamp blatant lie accepted truth make derision bullying thing past put country self yep right,negative
21,always grasp give trump credit shit actively helped discouraging support biden shitty job bernie idk anyone like,negative
22,real coup happened biden stole election thief liar crook belongs prison,negative
23,saying whatever want cross examination described every biden press conference ever,negative
24,oh lost biden president soon deal,negative
25,showed step daughter syndrome video dad mocking reporter disability thought disgusting voted biden,negative
26,fbi dir wray profited hunter biden illegal china russia kickback deal covered hunterlaptop guess else cashed agwilliambarr doj could n make tried,negative
27,biden not president elect election process even done yet foolish count chicken hatched,negative
28,vote biden democracy problem kevin,negative
29,president joe biden vice kamala harris keep stimulus check cornavirus relief package get deal done send round u american time crisis,negative
30,well within president power cancel student debt million american seen action trump canceled disabled veteran sdc biden admin would expansion student precedent set,negative
31,proven true fake news medium covering cyber crime top vote switched trump biden ausel voted dump putting early morning court law hiding treason,negative
32,biden face increasing pressure diversify cabinet,negative
33,president elect biden opportunity unite country many issue divisive american agree time fix broken political system add name tell make fighting corruption first priority,negative
34,sorry charlie not happening voter fraud china hunter joe biden,negative
35,let start plausible likely democrat cheated biden win state not pathological liar like trump people cheating especially expected lose,negative
36,biden could cancel student debt via,negative
37,horrific biden owned china u,negative
38,need wondering biden knew election fraud,negative
39,biden face increasing pressure diversify cabinet,negative
40,let suspend belief say way commit massive voter fraud state focusing republican legislator charge would mean republican democrat plotted trump tend think people voted biden occamsrazor,negative
41,biden liar fooling american people saying hundred day said forever would chaos amp obvious puppet foreign cabal communist infiltrated country renew every,negative
42,higgs sentenced death offense committed maryland not penalty new execution procedure likely rendered moot administration president elect joe biden said campaign opposes,negative
43,weird labelled joseph biden understand supposed guy hard label one character,negative
44,biden tried destroy reputation scotus clarence thomas dems justice cavanaugh failed pelosi calling amy barrett appointment illegitimate strike right karma,negative
45,tom friedman msnbc past video preferred gop senate run fictional mcconnell want cooperate met biden today per tommy boy real screw u dems lose georgia race guess come jesus moment,negative
46,conspiracy waited president elect biden office,negative
47,left wing kook activist group supported biden rude awakening somehow prevails receive zero dollar position admin globalist crony getting kag trump,negative
48,america lying loser president fraud think million vote correct biden not please,negative
49,biden not president elect election process even done yet foolish count chicken hatched,negative
50,meanwhile trump come another silly idea due inability get real traction fraudulent voter claim thinking dual presidency like team joe biden even ok tiny desk trumpispathetic,negative
51,help get law passed gov politician not rich insider trading pelosi feinstein biden others done year go reported income thousand million maybe focus first,negative
52,wonder would saying biden oh forgot n like daddy anymore,negative
53,little known fact biden support thatcher not first time u helped kick argie as lexington raid anyone p,negative
54,joe biden kiss as april,negative
55,wan na fairly run cheating go ahead one would vote probably end trying cheat election like biden said trump try get rid process together kamala corrupt,negative
56,citizen not currying favor hard centrist biden administration sucking appointee amprog cap notorious bernie bashing corporate shill head neera tanden shameful despicable indefensible,negative
57,president elect joe biden pulled ahead donald trump seven million vote counting election never even remotely close court wo n justify ridiculous lawsuit game,negative
58,million people know biden liar along counter part b president trump deserves credit,negative
59,bonkers conspiracy theory ashamed biden not win election evil dems stole people taking back,negative
60,ballot biden omg cheated give trump,negative
61,joe biden win say medium spread shit n officially anything nothing awarded delegate idiot come jstfu,negative
62,trump lost many time biden need tweet getting tired winning,negative
63,jordan oh american highly doubt biden conversation anyone without coaching teleprompter ear device n stupid lost faculty,negative
64,n know many stupid people america poor live fantasy land trump lose hillary million vote somehow landslide win biden god help u,negative
65,poor guy probably need rest besides give chance prepare work biden silver lining day go trump would fire expert year working president fortunately associate carry seamlessly,negative
