,raw_text,subjectivity,polarity
0,@Sundae_Gurl Biden's first move should be to pardon Hunter.  Let's see how that plays out.,0,2
1,@cobiscool @LilNasX Do you think joe Biden drinks caprisun,0,2
2,"@ProudGayPatriot Don't worry, in the sense that they're not getting the election overturned.  Prepare for what's next, blocking the more extreme aspects of Biden-Harris presidency.",1,1
3,"@kclasgens @realDonaldTrump Not alone he didn't you are right, Even republicans voted for Biden as well to get rid of Trump that is how much they wanted him out, that is how you win the senate and lose the presidential race.

You Dream on I am in reality and Biden won easily!

NO EVIDENCE NO FRAUD! simple. https://t.co/xmfSPLdJcd",1,1
4,How Biden’s Climate Plans Will Shake Up Global Energy Markets https://t.co/SYMed6btH2,0,2
5,"""For what is now the second presidential election to illuminate a disturbing trend, state-level political polling in 2020 exhibited inaccuracies — even despite polling correctly predicting a Joe Biden victory,"" reports Danielle Dietz.

#FloridaPolitics 

https://t.co/c3XaTIX7s2",0,2
6,@realDonaldTrump @seanhannity Did you thank Joe Biden?,1,1
7,@AmyMek Anthony told Biden to Fauci off,0,2
8,@realDonaldTrump Thanks to Biden's win!!,1,1
9,Schwarzenegger says he would 'absolutely' help Biden administration | TheHill https://t.co/Je5GkAfJjM,1,1
10,"@DoomsdayDreams @marceelias Actually, Biden will be: 47. And that's because Trump will quit shortly before the end of his term so that a President Pence can pardon him.",1,1
11,@realDonaldTrump THANK YOU PRESIDENT ELECT BIDEN,1,1
12,@realDonaldTrump Thanks you Joe Biden.  You have put confidence back into the Market.  Trump is still the worst when it comes to jobs https://t.co/e4EmliHzX9,1,1
13,"@SaraCarterDC @danielhoffmanDC Really. The election still has not been called. There is NO “President Elect Biden”. Therefore, as of now, the Biden Camp is merely playing “Fantasy  Administration”.",1,0
14,Glitch in Biden’s favor !! It’s Coup !,1,0
15,"@gtconway3d @marceelias Strange, how come all the states Trump won were not FRAUD? Only those that Biden won were?",1,1
16,@TheCrotchDressr @Johnny_Nomics @TromboneDonald @AOC Biden is closer to Trump than AOC.,0,2
17,"@LoefflersEye @TeamTrump How is security footage going to get people hurt? Because it shows people committing a criminal conspiracy in action? The people know, Biden didn't win.....and we know....
Powerful people are going to pay for these crimes.",1,0
18,"@BreakingNews This unAmerican traitor coward , I took his place during VN conflict while daddy was paying for fake 4F for fake bone spurs. All this done because he lost election and wants to destroy America’s standing in the world as PRESIDENT ELECT BIDEN becomes PRESIDENT. OMG https://t.co/iHdkVREbrH",1,1
19,Im told that 80% of the ballots were for Biden. hope they get counted @CongressmanHice,1,1
20,@williamlegate Pathetic. Biden not looking for a professional liar.,1,0
21,"@wideopenvista @1ThessCh5 1/ Just think for a second. What if All of the bad guys were revealed prior to a certain time. Obama, HIllary? Biden? What do you think would be the recourse of that? Wouldn't there be more chaos then just a Chaz/Chop, or Minneapolis or any other riots?",1,0
22,Showtime has (already) optioned a book about Biden’s win for television. https://t.co/WchPwGbg8m via @lithub https://t.co/KNlKt5AtAi,0,2
23,"@realDonaldTrump We are thankful to you Donald trump-for being the biggest and bestest of nothing Which you ARE! JEEZE.... #biggestloserinthelandofthewholeusa

**Breaking News**BIDEN DELIVERS COVID VACCINE TO THE 
PEOPLE. 
IN THE MEANTIME OMG! TRUMP LITERALLY BEGS FOR PARDON OF HIMSELF! Thx BIDEN",1,1
24,"Beijing Has Enormous Sway Over Wall Street, Hopes for Biden Win: Chinese Professor. China is an ally to all of the Deep State

https://t.co/j4NcG2gMZ2",0,2
25,"Pense""s sorry as had the nerve to get on TV with a😷 and say ""help is on the way""

Well I be damn, I could have sworn President-elect Biden said that first.🤔",1,0
26,"Joe Biden telling Americans to stay home this Christmas.
 
Mr. Biden speculating 200,000 more people could die in the USA before he is inaugurated in January.
 
Listen to O’Reilly’s National Radio Program — https://t.co/1KKm9FMZik",0,2
27,"Well, I didn't vote for Biden nor Trump, 1 of them was going to win. 🤷🏻‍♀️
If it bothers you that I like a less toxic tone... sorry... not sorry. 😎

Have a good night. 👌",0,2
28,@catturd2 Nah I think Biden the Bastard was trying to sniff a little girl and her father stomped Biden’s foot.,1,0
29,"@Phillygirlfilly @TheUnRealXtina @kmschonberg @maddow As you know who someone votes for is a secret, but exit polls show according to this article that Biden had an advantage in active duty military personnel and Trump an advantage if veterans are included. Took 1 minute to find. https://t.co/sQjcgsNdFH",0,2
30,@AnneElizabethUS @TheRightMelissa Crooked Biden don't need to develop a disease its already present.,1,0
31,"@NickOwen4 @Cominagetcha @Cominagetcha, there’s no point in arguing with him anymore. He’s at the point where he just regurgitates the same stuff no matter what you say to him. He lost his ability to think critically and have civil argument. His reality check will just have to be Biden’s inauguration.",1,1
32,"@justjayne7z Because he did.

Georgia - 0.25%
Arizona - 0.30%
Wisconsin - 0.60%

That's 37 electoral college votes. If Trump had won those 3 states, he'd have won re-election. It would have been a tie, voted on by Congress. One vote per state - Reps had 26.

Biden won by about 40,000 votes.",1,1
33,@chantelle21769 @ossoff Im assuming they want to make a deal before the EOY. Im certain biden will pass a way better bill once hes sworn in.,1,1
34,@AnthonySabatini Yes Joe Biden will  finally do that after Trump’s destruction,1,1
35,"@weezerjuice @realDonaldTrump BIDEN 

DIDN'T DO SHIT~~~~~~~~~~~~~~~~~~!
AND HE IS NOT GOING TO DO ANYTHING TO FOR!

TRUMP DID IT ALL!!!  GET IT STRAIGHT",1,0
36,@realDonaldTrump No thanks to #DiaperDon  Market now reacting to Joe Biden’s election and ass-kicking of @realDonald Trump,1,1
37,Biden is a puppet for Nancy Pelosi and the American People.,1,0
38,"@FoxNews, too bad Biden won’t see a day in the White House 💁🏼‍♀️",1,0
39,"@marceelias First of all, you can appeal a recount loss?? Second of all, Biden won in BOTH of those counties by a LANDSLIDE! So umm... wtf!?? smdh!",1,1
40,@realDonaldTrump Thank Biden. Leadership is on the way.,1,1
41,@RiaTaylor00 @tony_b09 @SarcasticWee @marceelias Trump has 26 sexual alligations on him while biden has none. That tells you something,1,1
42,@chrislhayes You media types need to start treating the GOP like the threat to American lives that they are. They are the (insert media scare term) of the COVID crisis. Biden and other dem. enablers who keep hyping up bipartisanship with these ghouls should be condemned as well.,1,0
43,@realDonaldTrump Better thank Biden!,1,1
44,@drrollergator @ConceptualJames How do we know 2+2=5? That's the only way Biden won the election,1,0
45,@CBSNews Georgia went blue for Biden/Harris and Senate 50/50 tie is imperative for Dems with 2 Georgia Runoff Races https://t.co/KTCnDakVaY SPECIAL INCENTIVE: this will get rid of fossil clown @senatemajldr as Senate majority leader,0,2
46,"@jaketapper Hi Jake! Kindly relay this Compassionate Christmas proposal to President-Elect Joe Biden. Millions of Compassionate Landlords might be willing to forgive vulnerable tenants December rent if Biden makes the call,  invoking their sacrifice to help Build America Back Better!",0,2
47,"@CareBearCousin @DianeDMa1 @Lesdoggg It’s hilarious that the education map mirrors the voting map this year too. Highly educated states, for the most part, voted for Biden, and vice versa.",1,0
48,Biden to ask Americans to wear masks for 100 days https://t.co/yq6Ytgxq7j,0,2
49,"Arizona Rushes to Certify Biden’s Win, Ignoring Evidence Suggesting Frau... https://t.co/4ABxStA5bN via @YouTube",1,0
50,"@dev_decker Bernie's gonna outlive Biden, or at least, keep his marbles longer. BUT, he's not wartime. Turner/Hedges.",1,0
51,@Mike_Pence @CDCgov We know help is on the way. Biden will be inaugurated in January and he’ll fix your screw ups. #BidenTransition,1,1
52,Not surprising since #biden has always plagiarized,1,0
53,@Transition46 @JoeBiden Strong doses of socialism in America coming from Biden/Harris.,0,2
54,@AntiAquariusAge @pikachuevie @VICE not a biden supporter and yes i like basketball. pretty pathetic how you're just digging for stuff to talk about because you have nothing important to say lmao,1,0
55,"@NancyBi43927029 Nancy, 

Just verified this: Trump beat Biden in Florida 51% to 47%. Therefore, all 29 FL electoral votes will go to Trump, as they should by state law.",0,2
56,#Biden will never degrade a reporter for asking a question. He respects all human beings If he has something important to say we won’t have to read it in a tweet. How refreshing. I doubt the qualified people around him will stay in place #Trumps Whitehouse was a revolving door.,1,1
57,@kasie Joe Biden had never done anything but lie. Ffs the man was caught plagiarizing over half of his speeches. He is the epitome of a liar.,1,0
58,"""When Obama won twice, too many people went to sleep.""

@CornelWest is warning progressives to stay vigilant in fighting Wall Street greed and Pentagon militarism during a Biden presidency. https://t.co/8zbiOtYqYN",0,2
59,@AOC Did you see how the LA Lakers applied and got some federal money?  Crazy right bastards!,0,2
