,raw_text,clean_text,subjectivity,polarity
0,@Sundae_Gurl Biden's first move should be to pardon Hunter.  Let's see how that plays out.,sundae gurl biden first move pardon hunter let see play,0,2
1,@cobiscool @LilNasX Do you think joe Biden drinks caprisun,cobiscool lilnasx think joe biden drink caprisun,0,2
2,"@ProudGayPatriot Don't worry, in the sense that they're not getting the election overturned.  Prepare for what's next, blocking the more extreme aspects of Biden-Harris presidency.",proudgaypatriot worry sense not getting election overturned prepare next blocking extreme aspect biden harris presidency,1,1
3,"@kclasgens @realDonaldTrump Not alone he didn't you are right, Even republicans voted for Biden as well to get rid of Trump that is how much they wanted him out, that is how you win the senate and lose the presidential race.

You Dream on I am in reality and Biden won easily!

NO EVIDENCE NO FRAUD! simple. https://t.co/xmfSPLdJcd",kclasgens realdonaldtrump not alone right even republican voted biden well get rid trump much wanted win senate lose presidential race dream reality easily evidence fraud simple,1,1
4,How Biden’s Climate Plans Will Shake Up Global Energy Markets https://t.co/SYMed6btH2,biden climate plan shake global energy market,0,2
5,"""For what is now the second presidential election to illuminate a disturbing trend, state-level political polling in 2020 exhibited inaccuracies — even despite polling correctly predicting a Joe Biden victory,"" reports Danielle Dietz.

#FloridaPolitics 

https://t.co/c3XaTIX7s2",second presidential election illuminate disturbing trend state level political polling exhibited inaccuracy even despite correctly predicting joe biden victory report danielle dietz floridapolitics,0,2
6,@realDonaldTrump @seanhannity Did you thank Joe Biden?,realdonaldtrump seanhannity thank joe biden,1,1
7,@AmyMek Anthony told Biden to Fauci off,amymek anthony told biden fauci,0,2
8,@realDonaldTrump Thanks to Biden's win!!,realdonaldtrump thanks biden win,1,1
9,Schwarzenegger says he would 'absolutely' help Biden administration | TheHill https://t.co/Je5GkAfJjM,schwarzenegger say would absolutely help biden administration thehill,1,1
10,"@DoomsdayDreams @marceelias Actually, Biden will be: 47. And that's because Trump will quit shortly before the end of his term so that a President Pence can pardon him.",doomsdaydreams marceelias actually biden trump quit shortly end term president penny pardon,1,1
11,@realDonaldTrump THANK YOU PRESIDENT ELECT BIDEN,realdonaldtrump thank president elect biden,1,1
12,@realDonaldTrump Thanks you Joe Biden.  You have put confidence back into the Market.  Trump is still the worst when it comes to jobs https://t.co/e4EmliHzX9,realdonaldtrump thanks joe biden put confidence back market trump still worst come job,1,1
13,"@SaraCarterDC @danielhoffmanDC Really. The election still has not been called. There is NO “President Elect Biden”. Therefore, as of now, the Biden Camp is merely playing “Fantasy  Administration”.",saracarterdc danielhoffmandc really election still not called president elect biden therefore camp merely playing fantasy administration,1,0
14,Glitch in Biden’s favor !! It’s Coup !,glitch biden favor coup,1,0
15,"@gtconway3d @marceelias Strange, how come all the states Trump won were not FRAUD? Only those that Biden won were?",gtconway marceelias strange come state trump not fraud biden,1,1
16,@TheCrotchDressr @Johnny_Nomics @TromboneDonald @AOC Biden is closer to Trump than AOC.,thecrotchdressr johnny nomics trombonedonald aoc biden closer trump,0,2
17,"@LoefflersEye @TeamTrump How is security footage going to get people hurt? Because it shows people committing a criminal conspiracy in action? The people know, Biden didn't win.....and we know....
Powerful people are going to pay for these crimes.",loefflerseye teamtrump security footage going get people hurt show committing criminal conspiracy action know biden win powerful pay crime,1,0
18,"@BreakingNews This unAmerican traitor coward , I took his place during VN conflict while daddy was paying for fake 4F for fake bone spurs. All this done because he lost election and wants to destroy America’s standing in the world as PRESIDENT ELECT BIDEN becomes PRESIDENT. OMG https://t.co/iHdkVREbrH",breakingnews unamerican traitor coward took place vn conflict daddy paying fake f bone spur done lost election want destroy america standing world president elect biden becomes omg,1,1
19,Im told that 80% of the ballots were for Biden. hope they get counted @CongressmanHice,im told ballot biden hope get counted congressmanhice,1,1
20,@williamlegate Pathetic. Biden not looking for a professional liar.,williamlegate pathetic biden not looking professional liar,1,0
21,"@wideopenvista @1ThessCh5 1/ Just think for a second. What if All of the bad guys were revealed prior to a certain time. Obama, HIllary? Biden? What do you think would be the recourse of that? Wouldn't there be more chaos then just a Chaz/Chop, or Minneapolis or any other riots?",wideopenvista thessch think second bad guy revealed prior certain time obama hillary biden would recourse chaos chaz chop minneapolis riot,1,0
22,Showtime has (already) optioned a book about Biden’s win for television. https://t.co/WchPwGbg8m via @lithub https://t.co/KNlKt5AtAi,showtime already optioned book biden win television via lithub,0,2
23,"@realDonaldTrump We are thankful to you Donald trump-for being the biggest and bestest of nothing Which you ARE! JEEZE.... #biggestloserinthelandofthewholeusa

**Breaking News**BIDEN DELIVERS COVID VACCINE TO THE 
PEOPLE. 
IN THE MEANTIME OMG! TRUMP LITERALLY BEGS FOR PARDON OF HIMSELF! Thx BIDEN",realdonaldtrump thankful donald trump biggest bestest nothing jeeze biggestloserinthelandofthewholeusa breaking news biden delivers covid vaccine people meantime omg literally begs pardon thx,1,1
24,"Beijing Has Enormous Sway Over Wall Street, Hopes for Biden Win: Chinese Professor. China is an ally to all of the Deep State

https://t.co/j4NcG2gMZ2",beijing enormous sway wall street hope biden win chinese professor china ally deep state,0,2
25,"Pense""s sorry as had the nerve to get on TV with a😷 and say ""help is on the way""

Well I be damn, I could have sworn President-elect Biden said that first.🤔",pense sorry nerve get tv say help way well damn could sworn president elect biden said first,1,0
26,"Joe Biden telling Americans to stay home this Christmas.
 
Mr. Biden speculating 200,000 more people could die in the USA before he is inaugurated in January.
 
Listen to O’Reilly’s National Radio Program — https://t.co/1KKm9FMZik",joe biden telling american stay home christmas mr speculating people could die usa inaugurated january listen reilly national radio program,0,2
27,"Well, I didn't vote for Biden nor Trump, 1 of them was going to win. 🤷🏻‍♀️
If it bothers you that I like a less toxic tone... sorry... not sorry. 😎

Have a good night. 👌",well vote biden trump going win bother like le toxic tone sorry not good night,0,2
28,@catturd2 Nah I think Biden the Bastard was trying to sniff a little girl and her father stomped Biden’s foot.,catturd nah think biden bastard trying sniff little girl father stomped foot,1,0
29,"@Phillygirlfilly @TheUnRealXtina @kmschonberg @maddow As you know who someone votes for is a secret, but exit polls show according to this article that Biden had an advantage in active duty military personnel and Trump an advantage if veterans are included. Took 1 minute to find. https://t.co/sQjcgsNdFH",phillygirlfilly theunrealxtina kmschonberg maddow know someone vote secret exit poll show according article biden advantage active duty military personnel trump veteran included took minute find,0,2
30,@AnneElizabethUS @TheRightMelissa Crooked Biden don't need to develop a disease its already present.,anneelizabethus therightmelissa crooked biden need develop disease already present,1,0
31,"@NickOwen4 @Cominagetcha @Cominagetcha, there’s no point in arguing with him anymore. He’s at the point where he just regurgitates the same stuff no matter what you say to him. He lost his ability to think critically and have civil argument. His reality check will just have to be Biden’s inauguration.",nickowen cominagetcha point arguing anymore regurgitates stuff matter say lost ability think critically civil argument reality check biden inauguration,1,1
32,"@justjayne7z Because he did.

Georgia - 0.25%
Arizona - 0.30%
Wisconsin - 0.60%

That's 37 electoral college votes. If Trump had won those 3 states, he'd have won re-election. It would have been a tie, voted on by Congress. One vote per state - Reps had 26.

Biden won by about 40,000 votes.",justjayne z georgia arizona wisconsin electoral college vote trump state election would tie voted congress one vote per state rep biden,1,1
33,@chantelle21769 @ossoff Im assuming they want to make a deal before the EOY. Im certain biden will pass a way better bill once hes sworn in.,chantelle ossoff im assuming want make deal eoy certain biden pas way better bill he sworn,1,1
34,@AnthonySabatini Yes Joe Biden will  finally do that after Trump’s destruction,anthonysabatini yes joe biden finally trump destruction,1,1
35,"@weezerjuice @realDonaldTrump BIDEN 

DIDN'T DO SHIT~~~~~~~~~~~~~~~~~~!
AND HE IS NOT GOING TO DO ANYTHING TO FOR!

TRUMP DID IT ALL!!!  GET IT STRAIGHT",weezerjuice realdonaldtrump biden shit not going anything trump get straight,1,0
